visitor_id,visitor_type,device,traffic_source,add_to_cart,checkout_started,subscribed,revenue
V000000,new,mobile,email,0,0,0,0.0
V000001,returning,mobile,paid_social,0,0,0,0.0
V000002,new,mobile,email,0,0,0,0.0
V000003,returning,mobile,direct,0,0,0,0.0
V000004,returning,mobile,email,0,0,0,0.0
V000005,new,mobile,paid_social,0,0,0,0.0
V000006,new,desktop,influencer,0,0,0,0.0
V000007,new,mobile,organic_search,0,0,0,0.0
V000008,new,tablet,influencer,0,0,0,0.0
V000009,new,tablet,direct,0,0,0,0.0
V000010,returning,mobile,influencer,1,1,1,52.52
V000011,returning,desktop,influencer,0,0,0,0.0
V000012,new,mobile,paid_social,0,0,0,0.0
V000013,new,mobile,organic_search,0,0,0,0.0
V000014,new,desktop,direct,1,0,0,0.0
V000015,returning,mobile,influencer,0,0,0,0.0
V000016,new,mobile,influencer,0,0,0,0.0
V000017,new,mobile,direct,0,0,0,0.0
V000018,returning,mobile,influencer,1,1,0,0.0
V000019,new,desktop,influencer,0,0,0,0.0
V000020,returning,mobile,email,0,0,0,0.0
V000021,returning,tablet,paid_social,0,0,0,0.0
V000022,new,desktop,paid_social,1,0,0,0.0
V000023,new,desktop,organic_search,0,0,0,0.0
V000024,returning,tablet,organic_search,0,0,0,0.0
V000025,new,mobile,direct,0,0,0,0.0
V000026,new,desktop,organic_search,1,1,1,51.63
V000027,returning,mobile,paid_social,0,0,0,0.0
V000028,returning,mobile,organic_search,1,1,1,51.04
V000029,new,mobile,paid_social,1,1,1,50.21
V000030,new,desktop,organic_search,0,0,0,0.0
V000031,new,desktop,organic_search,0,0,0,0.0
V000032,new,mobile,paid_social,0,0,0,0.0
V000033,new,desktop,paid_social,0,0,0,0.0
V000034,new,desktop,paid_social,0,0,0,0.0
V000035,returning,mobile,paid_social,1,0,0,0.0
V000036,returning,mobile,paid_social,0,0,0,0.0
V000037,new,desktop,direct,0,0,0,0.0
V000038,new,mobile,email,0,0,0,0.0
V000039,new,desktop,direct,0,0,0,0.0
V000040,new,desktop,organic_search,0,0,0,0.0
V000041,new,desktop,organic_search,0,0,0,0.0
V000042,returning,desktop,email,0,0,0,0.0
V000043,new,tablet,email,0,0,0,0.0
V000044,new,mobile,paid_social,0,0,0,0.0
V000045,returning,desktop,organic_search,0,0,0,0.0
V000046,new,desktop,organic_search,0,0,0,0.0
V000047,returning,mobile,influencer,1,0,0,0.0
V000048,new,desktop,direct,0,0,0,0.0
V000049,returning,mobile,direct,0,0,0,0.0
V000050,new,mobile,paid_social,1,0,0,0.0
V000051,new,mobile,influencer,0,0,0,0.0
V000052,returning,desktop,paid_social,0,0,0,0.0
V000053,new,mobile,direct,1,0,0,0.0
V000054,new,desktop,paid_social,0,0,0,0.0
V000055,new,desktop,paid_social,0,0,0,0.0
V000056,new,desktop,paid_social,0,0,0,0.0
V000057,returning,desktop,influencer,0,0,0,0.0
V000058,new,mobile,direct,0,0,0,0.0
V000059,returning,mobile,direct,0,0,0,0.0
V000060,returning,mobile,paid_social,0,0,0,0.0
V000061,returning,mobile,email,0,0,0,0.0
V000062,new,desktop,direct,0,0,0,0.0
V000063,new,desktop,email,0,0,0,0.0
V000064,new,desktop,direct,0,0,0,0.0
V000065,new,mobile,direct,0,0,0,0.0
V000066,returning,mobile,paid_social,0,0,0,0.0
V000067,returning,mobile,organic_search,0,0,0,0.0
V000068,returning,desktop,organic_search,0,0,0,0.0
V000069,new,desktop,email,0,0,0,0.0
V000070,returning,mobile,organic_search,0,0,0,0.0
V000071,new,mobile,email,0,0,0,0.0
V000072,new,mobile,email,0,0,0,0.0
V000073,new,mobile,paid_social,0,0,0,0.0
V000074,returning,desktop,paid_social,0,0,0,0.0
V000075,new,mobile,direct,0,0,0,0.0
V000076,new,desktop,organic_search,0,0,0,0.0
V000077,new,mobile,direct,0,0,0,0.0
V000078,new,mobile,paid_social,0,0,0,0.0
V000079,new,desktop,direct,0,0,0,0.0
V000080,new,desktop,paid_social,0,0,0,0.0
V000081,new,desktop,paid_social,0,0,0,0.0
V000082,new,mobile,email,1,1,1,46.52
V000083,returning,desktop,email,0,0,0,0.0
V000084,returning,mobile,direct,0,0,0,0.0
V000085,new,mobile,influencer,0,0,0,0.0
V000086,new,mobile,influencer,0,0,0,0.0
V000087,returning,mobile,direct,0,0,0,0.0
V000088,returning,desktop,direct,1,1,1,50.43
V000089,returning,desktop,direct,0,0,0,0.0
V000090,returning,mobile,direct,1,1,1,50.22
V000091,returning,desktop,paid_social,0,0,0,0.0
V000092,new,mobile,email,0,0,0,0.0
V000093,returning,desktop,direct,0,0,0,0.0
V000094,new,desktop,paid_social,0,0,0,0.0
V000095,new,mobile,email,1,1,1,49.15
V000096,returning,desktop,direct,0,0,0,0.0
V000097,returning,desktop,paid_social,0,0,0,0.0
V000098,new,mobile,paid_social,0,0,0,0.0
V000099,returning,desktop,direct,0,0,0,0.0
V000100,new,desktop,organic_search,0,0,0,0.0
V000101,new,mobile,paid_social,1,0,0,0.0
V000102,returning,desktop,paid_social,1,1,0,0.0
V000103,new,desktop,direct,0,0,0,0.0
V000104,new,desktop,email,0,0,0,0.0
V000105,returning,desktop,influencer,0,0,0,0.0
V000106,returning,mobile,paid_social,0,0,0,0.0
V000107,returning,desktop,organic_search,0,0,0,0.0
V000108,new,desktop,organic_search,0,0,0,0.0
V000109,new,mobile,organic_search,0,0,0,0.0
V000110,new,mobile,paid_social,0,0,0,0.0
V000111,new,desktop,influencer,0,0,0,0.0
V000112,new,mobile,paid_social,0,0,0,0.0
V000113,returning,mobile,organic_search,1,0,0,0.0
V000114,returning,mobile,influencer,0,0,0,0.0
V000115,returning,desktop,direct,0,0,0,0.0
V000116,new,desktop,organic_search,0,0,0,0.0
V000117,new,mobile,organic_search,0,0,0,0.0
V000118,returning,desktop,direct,0,0,0,0.0
V000119,new,mobile,direct,1,1,1,52.24
V000120,new,mobile,email,0,0,0,0.0
V000121,new,mobile,direct,0,0,0,0.0
V000122,new,desktop,direct,0,0,0,0.0
V000123,returning,mobile,direct,0,0,0,0.0
V000124,returning,tablet,influencer,0,0,0,0.0
V000125,new,mobile,paid_social,0,0,0,0.0
V000126,new,mobile,organic_search,0,0,0,0.0
V000127,returning,mobile,paid_social,0,0,0,0.0
V000128,returning,desktop,direct,0,0,0,0.0
V000129,new,desktop,influencer,0,0,0,0.0
V000130,new,mobile,direct,0,0,0,0.0
V000131,returning,mobile,paid_social,0,0,0,0.0
V000132,returning,mobile,influencer,0,0,0,0.0
V000133,new,desktop,paid_social,0,0,0,0.0
V000134,new,mobile,email,0,0,0,0.0
V000135,returning,desktop,organic_search,0,0,0,0.0
V000136,returning,desktop,paid_social,0,0,0,0.0
V000137,new,mobile,paid_social,0,0,0,0.0
V000138,returning,mobile,paid_social,0,0,0,0.0
V000139,returning,desktop,email,0,0,0,0.0
V000140,new,desktop,paid_social,0,0,0,0.0
V000141,new,mobile,organic_search,0,0,0,0.0
V000142,new,mobile,organic_search,0,0,0,0.0
V000143,new,mobile,organic_search,0,0,0,0.0
V000144,returning,mobile,paid_social,0,0,0,0.0
V000145,new,mobile,paid_social,0,0,0,0.0
V000146,new,desktop,email,0,0,0,0.0
V000147,new,mobile,paid_social,0,0,0,0.0
V000148,new,desktop,influencer,0,0,0,0.0
V000149,new,desktop,email,0,0,0,0.0
